MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
2180,ELEUTHERIA,4,06-18-1847,178
2181,FANNY,6,06-18-1847,194
2182,VICTOR,59,06-18-1847,110
2183,ASHBURTON,4,06-21-1847,330
2184,ROSCINE,4,06-21-1847,288
2185,VERONA,6,06-21-1847,31
2186,ELSINORE,4,05-01-1847,238
2187,ROBINSON,53,05-04-1847,99
2188,HECTOR,4,01-15-1847,222
2189,MONTEREY,18,04-07-1847,169
2190,LIBERTY,4,04-08-1847,274
2191,SIR ROBERT PEEL,61,04-08-1847,1
2192,ST. GEORGE,4,04-08-1847,334
2193,ATLAS,4,01-15-1847,99
2194,THETIS,18,10-22-1847,141
2195,ROCHESTER,4,01-18-1847,221
2196,SPARTAN,4,06-22-1847,144
2197,ISAAC WRIGHT,4,10-22-1847,215
2198,FRANCONIA,4,06-22-1847,128
2200,BARRINGTON,6,06-22-1847,30
2201,SEA,4,06-23-1847,115
2202,GIPSEY,59,06-23-1847,32
2203,SWAN,4,06-23-1847,191
2204,KATE HUNTER,4,10-22-1847,209
2205,ROSCIUS,4,10-22-1847,326
2206,CHRISTIANA,4,06-24-1847,162
2207,ATLANTIC,4,06-24-1847,279
2208,EUROPE,4,06-24-1847,188
2210,HOTTINGUER,4,10-22-1847,245
2212,NICHOLAS BIDDLE,4,10-22-1847,94
2213,LEILA,35,06-24-1847,25
2214,HENRY HOBBS,46,06-25-1847,140
2215,LA GRANGE,53,06-25-1847,149
2216,FRANCIS WATTS,35,05-04-1847,51
2217,FEROZEPORE,4,05-04-1847,335
2218,PACIFIC,4,01-20-1847,209
2219,ARCOLE,4,06-25-1847,225
2221,SIBERIA,4,06-26-1847,39
2222,JOHN R SKIDDY,4,06-26-1847,240
2223,UNCAS,4,06-28-1847,17
2224,PAOLI,4,06-28-1847,108
2225,PRINCE DE JOINVILLE,18,06-28-1847,201
2226,EARL DUNHAM,4,06-30-1847,142
2227,CHRISAN,18,05-05-1847,162
2228,ATALANTA,0,05-05-1847,126
2229,SOUTH CAROLINA,59,07-02-1847,226
2230,WARREN,59,07-02-1847,101
2231,NEUVITAS,3,07-02-1847,83
2232,ST. PATRICK,4,04-09-1847,356
2233,JUNIOR,50,07-03-1847,134
2234,MARTHA,46,07-03-1847,200
