Manifest Identification Number,Ship Name,Port of Departure (Embarkation),Date of Arrival
903144,DENMARK,80,6/26/1867 0:00:00
903145,CITY OF BALTIMORE,4,7/1/1867 0:00:00
903146,TRIPOLI,4,7/1/1867 0:00:00
903147,IOWA,6,7/1/1867 0:00:00
903148,BRITANNIA,6,7/8/1867 0:00:00
903149,CITY OF LONDON,4,7/8/1867 0:00:00
903150,HIBERNIA,6,7/13/1867 0:00:00
903151,CITY OF PARIS,80,7/15/1867 0:00:00
903152,HECLA,6,7/16/1867 0:00:00
903153,VIRGINIA,4,7/18/1867 0:00:00
903154,HUDSON,80,7/19/1867 0:00:00
903155,SIR ROBERT PEEL,6,7/22/1867 0:00:00
903156,COLUMBIA,6,7/27/1867 0:00:00
903157,CITY OF BOSTON,4,7/29/1867 0:00:00
903158,MANHATTAN,4,7/30/1867 0:00:00
903159,MALTA,4,7/30/1867 0:00:00
903160,CALEDONIA,4,8/3/1867 0:00:00
903161,CITY OF BALTIMORE,4,8/5/1867 0:00:00
903162,VILLA FRANCA,61,8/7/1867 0:00:00
903163,IOWA,6,8/12/1867 0:00:00
903164,CITY OF LONDON,4,8/14/1867 0:00:00
903165,DENMARK,4,8/15/1867 0:00:00
903166,PALMYRA,4,8/17/1867 0:00:00
903167,NEBRASKA,80,8/19/1867 0:00:00
903168,BRITANNIA,6,8/19/1867 0:00:00
903169,HIBERNIA,6,8/24/1867 0:00:00
903170,CITY OF BOSTON,80,9/2/1867 0:00:00
903171,MANHATTAN,80,9/2/1867 0:00:00
903172,COLUMBIA,6,9/7/1867 0:00:00
903173,CITY OF BALTIMORE,80,9/9/1867 0:00:00
903174,CITY OF LONDON,4,9/16/1867 0:00:00
903175,HECLA,4,9/16/1867 0:00:00
903176,CALEDONIA,6,9/16/1867 0:00:00
903177,CITY OF WASHINGTON,4,9/17/1867 0:00:00
903178,MINNESOTA,4,9/17/1867 0:00:00
903179,IOWA,6,9/23/1867 0:00:00
903180,ALEX MARSHALL,4,9/23/1867 0:00:00
903181,TRIPOLI,4,9/26/1867 0:00:00
903182,DENMARK,80,9/26/1867 0:00:00
903183,PALMYRA,4,9/27/1867 0:00:00
903184,SIBERIA,80,10/1/1867 0:00:00
903185,HIBERNIA,91,10/7/1867 0:00:00
903187,ADELAIDE,4,10/9/1867 0:00:00
903188,EUROPA,6,10/10/1867 0:00:00
903189,CITY OF BALTIMORE,4,10/14/1867 0:00:00
903190,CITY OF LONDON,4,10/21/1867 0:00:00
903191,ALEPPO,4,10/22/1867 0:00:00
903193,CITY OF PARIS,80,10/28/1867 0:00:00
903194,CULTIVATOR,4,10/28/1867 0:00:00
903195,FRANCE,80,10/28/1867 0:00:00
903196,HECLA,80,10/28/1867 0:00:00
903197,CITY OF ANTWERP,4,11/4/1867 0:00:00
903198,RHINE,61,11/4/1867 0:00:00
903199,TARIFA,80,11/5/1867 0:00:00
903200,CITY OF BALTIMORE,4,11/18/1867 0:00:00
903201,SIBERIA,80,11/18/1867 0:00:00
903202,NEBRASKA,80,11/20/1867 0:00:00
903203,CITY OF WASHINGTON,4,11/23/1867 0:00:00
903205,CITY OF PARIS,80,11/30/1867 0:00:00
903206,FRANCE,80,12/4/1867 0:00:00
903207,HECLA,4,12/9/1867 0:00:00
903208,ALEPPO,4,12/12/1867 0:00:00
903209,TARIFA,80,12/16/1867 0:00:00
903210,CHICAGO,80,12/26/1867 0:00:00
903211,FRANCE,80,1/3/1868 0:00:00
903212,NEBRASKA,4,1/6/1868 0:00:00
903213,BRITANNIA,6,1/7/1868 0:00:00
903214,MANHATTAN,4,1/8/1868 0:00:00
903215,PENNSYLVANIA,4,1/15/1868 0:00:00
903216,EUROPE,6,1/17/1868 0:00:00
903217,ERIN,4,2/3/1868 0:00:00
903218,CITY OF BALTIMORE,4,2/17/1868 0:00:00
903219,BRITANNIA,6,2/19/1868 0:00:00
903220,HARVEST QUEEN,4,2/23/1868 0:00:00
903221,COLUMBIA,6,3/25/1868 0:00:00
903222,C. GRINNELL,61,3/25/1868 0:00:00
903223,CIRCASSIA,4,3/26/1868 0:00:00
903224,CITY OF LONDON,4,4/22/1868 0:00:00
903225,UNITED KINGDOM,6,5/2/1868 0:00:00
903226,PLYMOUTH ROCK,61,5/7/1868 0:00:00
903227,CALEDONIA,6,5/14/1868 0:00:00
903228,HIBERNIA,43,5/25/1868 0:00:00
903229,CITY OF BOSTON,4,6/8/1868 0:00:00
903230,CLARA WHEELER,4,6/8/1868 0:00:00
903231,ANTARCTIC,4,6/15/1868 0:00:00
903232,CITY OF WASHINGTON,4,6/22/1868 0:00:00
903233,CITY OF LONDON,4,6/29/1868 0:00:00
903234,ETNA,4,7/6/1868 0:00:00
903235,CHANCELLOR,4,7/10/1868 0:00:00
903236,CITY OF BOSTON,4,7/13/1868 0:00:00
903237,ISAAC WEBB,4,7/13/1868 0:00:00
903238,EUROPA,6,7/16/1868 0:00:00
903239,WILLIAM TAPSCOTT,4,7/18/1868 0:00:00
903240,CITY OF ANTWERP,4,7/20/1868 0:00:00
903241,IOWA,6,7/20/1868 0:00:00
903242,PERSEVERANCE,4,7/28/1868 0:00:00
903243,CALEDONIA,91,8/3/1868 0:00:00
903244,CITY OF LONDON,4,8/5/1868 0:00:00
903245,ERIN,80,8/6/1868 0:00:00
903246,ETNA,4,8/17/1868 0:00:00
903247,EUROPA,91,8/21/1868 0:00:00
903248,COLUMBIA,91,9/7/1868 0:00:00
903249,CITY OF LONDON,4,9/7/1868 0:00:00
903250,CALEDONIA,91,9/14/1868 0:00:00
903251,CITY OF CORK,4,9/14/1868 0:00:00
903252,BRITANNIA,6,9/19/1868 0:00:00
903253,CITY OF NEW YORK,4,9/25/1868 0:00:00
903254,EUROPA,91,10/1/1868 0:00:00
903255,WILLIAM RATHBONE,4,10/5/1868 0:00:00
903256,HUDSON,61,10/5/1868 0:00:00
903257,IOWA,6,10/12/1868 0:00:00
903258,CITY OF BALTIMORE,4,10/17/1868 0:00:00
903259,COLUMBIA,91,10/19/1868 0:00:00
903260,CALEDONIA,6,10/20/1868 0:00:00
903261,CYNOSURE,4,10/29/1868 0:00:00
903262,CITY OF ANTWERP,4,11/3/1868 0:00:00
903263,BRITANNIA,6,11/4/1868 0:00:00
903264,CUBA,4,11/5/1868 0:00:00
903265,EUROPA,91,11/16/1868 0:00:00
903266,HELVETIA,4,11/17/1868 0:00:00
903267,ENGLAND,4,11/20/1868 0:00:00
903268,COLUMBIA,6,11/23/1868 0:00:00
903269,CITY OF BOSTON,4,11/30/1868 0:00:00
903270,BRITANNIA,6,12/15/1868 0:00:00
903271,WILLIAM F STORER,4,12/16/1868 0:00:00
903272,PENNSYLVANIA,4,12/16/1868 0:00:00
903273,AUSTRALIAN,80,12/26/1868 0:00:00
903274,UNITED KINGDOM,91,12/28/1868 0:00:00
903275,CITY OF BALTIMORE,4,12/30/1868 0:00:00
903276,STR. EUROPA,91,12/28/1868 0:00:00
903277,ERIN,4,1/2/1869 0:00:00
903278,ENGLAND,80,1/2/1869 0:00:00
903279,DENMARK,4,1/14/1869 0:00:00
903280,CITY OF NEW YORK,4,1/14/1869 0:00:00
903281,ACADIA,6,1/18/1869 0:00:00
903282,IOWA,6,1/18/1869 0:00:00
903283,CITY OF ANTWERP,4,1/19/1869 0:00:00
903284,CALEDONIA,6,1/21/1869 0:00:00
903285,BRITANNIA,6,1/26/1869 0:00:00
903286,CITY OF BALTIMORE,4,2/8/1869 0:00:00
903287,CITY OF PARIS,80,2/8/1869 0:00:00
903288,EUROPA,6,2/9/1869 0:00:00
903289,UNITED KINGDOM,6,2/17/1869 0:00:00
903290,CITY OF ANTWERP,4,2/24/1869 0:00:00
903291,COLORADO,80,2/25/1869 0:00:00
903292,CITY OF LONDON,4,3/2/1869 0:00:00
903293,DENMARK,4,3/3/1869 0:00:00
903294,CALEDONIA,6,3/4/1869 0:00:00
903295,CITY OF BALTIMORE,4,3/15/1869 0:00:00
903296,JAVA,6,3/16/1869 0:00:00
903297,BRITANNIA,6,3/16/1869 0:00:00
903298,KANGAROO,4,3/19/1869 0:00:00
903299,NEW WORLD,61,3/24/1869 0:00:00
903300,EUROPA,91,3/27/1869 0:00:00
903301,JAMES FOSTER JR.,4,3/31/1869 0:00:00
903302,CITY OF NEW YORK,4,4/1/1869 0:00:00
903303,INDIA,91,4/6/1869 0:00:00
903304,CITY OF BROOKLYN,4,4/12/1869 0:00:00
903305,UNITED KINGDOM,6,4/17/1869 0:00:00
903306,WILLIAM F STORER,4,4/28/1869 0:00:00
903307,COLUMBIA,6,5/3/1869 0:00:00
903308,EUROPA,6,5/7/1869 0:00:00
903309,CITY OF BOSTON,4,5/7/1869 0:00:00
903310,ISAAC WEBB,4,5/10/1869 0:00:00
903311,CITY OF CORK,4,5/12/1869 0:00:00
903312,INDIA,6,5/12/1869 0:00:00
903313,CITY OF BROOKLYN,4,5/17/1869 0:00:00
903314,ETNA,4,5/22/1869 0:00:00
903315,NEPTUNE,4,5/24/1869 0:00:00
903316,CITY OF ANTWERP,4,5/25/1869 0:00:00
903317,DACIAN,6,5/31/1869 0:00:00
903318,CITY OF BOSTON,80,6/3/1869 0:00:00
903319,BRITANNIA,6,6/8/1869 0:00:00
903320,DENMARK,4,6/8/1869 0:00:00
903322,CITY OF LONDON,4,6/15/1869 0:00:00
903323,EUROPA,91,6/16/1869 0:00:00
903324,JUDEA,6,6/18/1869 0:00:00
903325,CITY OF WASHINGTON,4,6/19/1869 0:00:00
903326,CITY OF BROOKLYN,4,6/21/1869 0:00:00
903327,CHINA,4,6/23/1869 0:00:00
903328,CITY OF ANTWERP,4,6/28/1869 0:00:00
903329,ALEX MARSHALL,4,6/30/1869 0:00:00
903330,DACIAN,6,7/2/1869 0:00:00
903331,CITY OF PARIS,80,7/5/1869 0:00:00
903332,AMERICAN UNION,61,7/6/1869 0:00:00
903333,IOWA,6,7/13/1869 0:00:00
903334,EMERALD ISLE,4,7/16/1869 0:00:00
903335,BRITANNIA,6,7/19/1869 0:00:00
903336,CITY OF LONDON,4,7/20/1869 0:00:00
903337,VIRGINIA,80,7/22/1869 0:00:00
903338,CITY OF BROOKLYN,4,7/26/1869 0:00:00
903339,EUROPA,91,7/31/1869 0:00:00
903340,CITY OF CORK,4,8/6/1869 0:00:00
903341,CITY OF ANTWERP,4,8/9/1869 0:00:00
903342,CALEDONIA,91,8/9/1869 0:00:00
903343,PENNSYLVANIA,4,8/12/1869 0:00:00
903344,IOWA,6,8/23/1869 0:00:00
903345,CULTIVATOR,4,8/25/1869 0:00:00
903346,BRITANNIA,6,8/30/1869 0:00:00
903347,CITY OF BROOKLYN,4,8/30/1869 0:00:00
903348,CITY OF WASHINGTON,4,9/6/1869 0:00:00
903349,CITY OF ANTWERP,4,9/15/1869 0:00:00
903350,THOMAS DURHAM,4,9/17/1869 0:00:00
903351,INDIA,91,9/17/1869 0:00:00
903352,JAMES FOSTER JR.,4,9/21/1869 0:00:00
903353,COLUMBIA,6,9/23/1869 0:00:00
903354,CITY OF BROOKLYN,4,10/5/1869 0:00:00
903355,IOWA,6,10/6/1869 0:00:00
903356,BRITANNIA,6,10/11/1869 0:00:00
903357,CITY OF WASHINGTON,4,10/12/1869 0:00:00
903358,CITY OF ANTWERP,4,10/18/1869 0:00:00
903359,INDIA,91,10/28/1869 0:00:00
903360,CAMBRIA,6,11/5/1869 0:00:00
903361,C.H. MARSHALL,4,11/15/1869 0:00:00
903362,IOWA,6,11/17/1869 0:00:00
903363,CALEDONIA,91,11/22/1869 0:00:00
903364,CITY OF WASHINGTON,4,11/23/1869 0:00:00
903365,CYNOSURE,4,11/26/1869 0:00:00
903366,CITY OF ANTWERP,4,12/4/1869 0:00:00
903367,EUROPE,91,12/4/1869 0:00:00
903368,INDIA,6,12/10/1869 0:00:00
903369,PENNSYLVANIA,4,12/15/1869 0:00:00
903370,CAMBRIA,6,12/17/1869 0:00:00
903371,HARVEST QUEEN,4,12/22/1869 0:00:00
903372,HELVETIA,80,12/27/1869 0:00:00
903373,IOWA,6,12/30/1869 0:00:00
903374,CITY OF WASHINGTON,999,12/30/1869 0:00:00
903375,CALEDONIA,6,1/3/1870 0:00:00
903376,CUBA,4,1/15/1870 0:00:00
903377,EUROPA,4,1/17/1870 0:00:00
903378,CITY OF BROOKLYN,4,1/21/1870 0:00:00
903379,CALABRIA,4,1/21/1870 0:00:00
903380,DENMARK,4,1/24/1870 0:00:00
903381,INDIA,6,1/24/1870 0:00:00
903382,CITY OF ANTWERP,4,1/26/1870 0:00:00
903383,CAMBRIA,6,1/28/1870 0:00:00
903384,NEMESIS,4,2/5/1870 0:00:00
903385,CITY OF WASHINGTON,4,2/12/1870 0:00:00
903386,ANGLIA,6,2/14/1870 0:00:00
903388,CALABRIA,4,2/23/1870 0:00:00
903389,EUROPA,6,2/24/1870 0:00:00
903390,NEVADA,4,2/28/1870 0:00:00
903391,CITY OF ANTWERP,4,3/1/1870 0:00:00
903392,COLORADO,4,3/7/1870 0:00:00
903393,INDIA,6,3/7/1870 0:00:00
903394,DENMARK,4,3/8/1870 0:00:00
903396,NEMESIS,4,3/16/1870 0:00:00
903397,CHINA,80,3/24/1870 0:00:00
903398,CHINA,80,4/29/1870 0:00:00
903399,JAVA,4,5/4/1870 0:00:00
903400,CUBA,80,5/19/1870 0:00:00
903401,CHINA,4,6/1/1870 0:00:00
903402,ANTARCTIC,4,6/8/1870 0:00:00
903403,VIRGINIA,80,6/13/1870 0:00:00
903404,CITY OF WASHINGTON,6,6/15/1870 0:00:00
903405,VICTORY,4,6/22/1870 0:00:00
903406,HARVEST QUEEN,4,6/22/1870 0:00:00
903407,CUBA,4,6/23/1870 0:00:00
903408,CHINA,4,7/6/1870 0:00:00
903409,DACIAN,6,7/21/1870 0:00:00
903410,CUBA,4,7/28/1870 0:00:00
903411,JAMES FOSTER JR.,4,7/29/1870 0:00:00
903412,RUSSIA,4,8/3/1870 0:00:00
903413,CITY OF BROOKLYN,4,8/9/1870 0:00:00
903414,PARAGUAY,61,8/22/1870 0:00:00
903415,C.H. MARSHALL,4,8/29/1870 0:00:00
903416,NEBRASKA,4,9/9/1870 0:00:00
903417,ISAAC WEBB,4,10/8/1870 0:00:00
903418,NEPTUNE,4,10/10/1870 0:00:00
903419,INDIA,6,10/14/1870 0:00:00
903420,HARVEST QUEEN,4,10/31/1870 0:00:00
903421,VIRGINIA,4,11/28/1870 0:00:00
903422,NEBRASKA,4,11/28/1870 0:00:00
903424,GREAT WESTERN,4,12/27/1870 0:00:00
903425,CALEDONIA,6,12/27/1870 0:00:00
903426,ANGLIA,6,1/2/1871 0:00:00
903427,THE QUEEN,4,1/2/1871 0:00:00
903428,CITY OF BRUSSELS,4,1/4/1871 0:00:00
903429,WISCONSIN,4,1/5/1871 0:00:00
903430,CITY OF WASHINGTON,4,1/12/1871 0:00:00
903431,ABYSSINIA,4,1/14/1871 0:00:00
903432,FRANCE,4,1/16/1871 0:00:00
903433,CITY OF PARIS,4,1/18/1871 0:00:00
903434,HOLLAND,4,1/21/1871 0:00:00
903435,RUSSIA,4,1/27/1871 0:00:00
903436,CITY OF LONDON,4,1/28/1871 0:00:00
903437,INDIA,6,1/30/1871 0:00:00
903438,CITY OF CORK,4,2/8/1871 0:00:00
903439,CITY OF BRUSSELS,4,2/9/1871 0:00:00
903440,NEVADA,4,2/10/1871 0:00:00
903441,ALGERIA,4,2/10/1871 0:00:00
903442,AUSTRALIA,6,2/10/1871 0:00:00
903443,CITY OF WASHINGTON,4,2/16/1871 0:00:00
903444,COLORADO,4,2/16/1871 0:00:00
903445,ABYSSINIA,4,2/17/1871 0:00:00
903446,VIRGINIA,4,2/20/1871 0:00:00
903447,WISCONSIN,4,2/21/1871 0:00:00
903448,CITY OF BROOKLYN,4,2/22/1871 0:00:00
903449,HELVETIA,4,2/25/1871 0:00:00
903450,HARVEST QUEEN,4,2/27/1871 0:00:00
903451,DENMARK,4,3/3/1871 0:00:00
903452,MINNESOTA,4,3/9/1871 0:00:00
903453,CHINA,4,3/10/1871 0:00:00
903454,MANHATTAN,4,3/13/1871 0:00:00
903455,OCEANIC,61,3/30/1871 0:00:00
903456,PARAGUAY,4,4/14/1871 0:00:00
903457,CHINA,4,4/20/1871 0:00:00
903459,CUBA,4,5/18/1871 0:00:00
903460,NEPTUNE,4,6/20/1871 0:00:00
903461,PARAGUAY,61,6/29/1871 0:00:00
903462,CITY OF LONDON,4,7/10/1871 0:00:00
903463,JAVA,4,7/12/1871 0:00:00
903464,HARVEST QUEEN,4,7/13/1871 0:00:00
903465,CUBA,4,7/27/1871 0:00:00
903466,PARTHIA,4,8/3/1871 0:00:00
903467,RUSSIA,4,8/22/1871 0:00:00
903468,EUROPA,6,8/26/1871 0:00:00
903469,MANHATTAN,4,9/1/1871 0:00:00
903470,ATLANTIC,4,9/4/1871 0:00:00
903471,CITY OF WASHINGTON,4,9/5/1871 0:00:00
903472,ERIN,61,9/8/1871 0:00:00
903473,VIRGINIA,4,9/16/1871 0:00:00
903474,AUSTRALIA,6,9/23/1871 0:00:00
903475,BALTIC,4,9/25/1871 0:00:00
903476,EMERALD ISLE,4,10/4/1871 0:00:00
903477,ATLANTIC,4,10/10/1871 0:00:00
903478,HARVEST QUEEN,4,10/16/1871 0:00:00
903480,OCEANIC,80,10/24/1871 0:00:00
903481,PARAGUAY,61,10/28/1871 0:00:00
903482,CULTIVATOR,4,11/3/1871 0:00:00
903483,AUSTRALIA,6,11/4/1871 0:00:00
903484,CITY OF PARIS,4,11/8/1871 0:00:00
903485,CITY OF NEW YORK,4,11/14/1871 0:00:00
903486,C.H. MARSHALL,4,11/20/1871 0:00:00
903487,NEPTUNE,4,11/22/1871 0:00:00
903488,ALEX MARSHALL,4,11/22/1871 0:00:00
903489,HELVETIA,95,11/24/1871 0:00:00
903490,BRITANNIA,6,11/27/1871 0:00:00
903491,OCEANIC,4,11/28/1871 0:00:00
903492,ATLANTIC,4,12/12/1871 0:00:00
903493,THE QUEEN,4,1/3/1872 0:00:00
903494,INDIA,6,1/4/1872 0:00:00
903495,LONDON,4,1/6/1872 0:00:00
903496,GREAT WESTERN,4,1/8/1872 0:00:00
903497,SIR ROBERT PEEL,61,1/10/1872 0:00:00
903498,OCEANIC,4,1/10/1872 0:00:00
903499,ATLANTIC,4,1/15/1872 0:00:00
903500,ANGLIA,6,1/16/1872 0:00:00
903501,CITY OF BROOKLYN,4,1/17/1872 0:00:00
903502,WISCONSIN,4,1/18/1872 0:00:00
903503,CALABRIA,4,1/29/1872 0:00:00
903504,COLUMBIA,6,1/29/1872 0:00:00
903505,AUSTRALIA,6,1/30/1872 0:00:00
903506,EUROPA,6,2/4/1872 0:00:00
903507,SPAIN,4,2/9/1872 0:00:00
903508,CITY OF WASHINGTON,4,2/10/1872 0:00:00
903509,DENMARK,95,2/10/1872 0:00:00
903510,REPUBLIC,4,2/15/1872 0:00:00
903511,IDAHO,4,2/19/1872 0:00:00
903512,ATLANTIC,4,2/20/1872 0:00:00
903513,HELVETIA,4,2/21/1872 0:00:00
903514,BALTIC,4,2/26/1872 0:00:00
903515,TRINACRIA,6,2/26/1872 0:00:00
903516,HARVEST QUEEN,4,3/11/1872 0:00:00
903517,AUSTRALIA,6,3/11/1872 0:00:00
903518,COLUMBIA,6,3/16/1872 0:00:00
903519,ALEX MARSHALL,4,4/1/1872 0:00:00
903520,OREGON,61,4/3/1872 0:00:00
903521,C.H. MARSHALL,4,4/4/1872 0:00:00
903522,H. FISH,4,4/9/1872 0:00:00
903523,CONSTANTINE,61,4/15/1872 0:00:00
903524,BRITANNIA,6,4/22/1872 0:00:00
903525,NEW WORLD,61,4/30/1872 0:00:00
903526,GREAT WESTERN,4,5/3/1872 0:00:00
903527,CITY OF WASHINGTON,4,5/6/1872 0:00:00
903528,RHINE,61,5/10/1872 0:00:00
903529,JAMES FOSTER JR.,4,5/13/1872 0:00:00
903530,SIR ROBERT PEEL,61,5/13/1872 0:00:00
903531,LIVERPOOL,4,5/14/1872 0:00:00
903532,ARRAGON,61,5/24/1872 0:00:00
903533,MINNEHAHA,3,5/29/1872 0:00:00
903534,PLYMOUTH ROCK,61,6/7/1872 0:00:00
903535,AMERICAN UNION,61,6/8/1872 0:00:00
903536,HUTTON,4,6/13/1872 0:00:00
903537,GREAT WESTERN,61,6/24/1872 0:00:00
903538,ERIN,61,7/5/1872 0:00:00
903539,ARRAGON,61,7/17/1872 0:00:00
903540,LACK CABINE,61,7/22/1872 0:00:00
903541,AN CAUGNESS,61,7/25/1872 0:00:00
903542,GREAT WESTERN,61,8/12/1872 0:00:00
903543,HUDSON,61,8/13/1872 0:00:00
903544,THOMAS H. ARMSTRONG,6,8/26/1872 0:00:00
903545,ALEX MARSHALL,4,8/29/1872 0:00:00
903546,C.H. MARSHALL,4,8/30/1872 0:00:00
903547,CORNELIUS GRINNELL,61,9/3/1872 0:00:00
903548,ARRAGON,61,9/5/1872 0:00:00
903549,NEW WORLD,61,9/18/1872 0:00:00
903550,GREAT WESTERN,4,9/25/1872 0:00:00
903551,RHINE,61,9/28/1872 0:00:00
903552,SIR ROBERT PEEL,61,10/3/1872 0:00:00
903553,JAMES FOSTER JR.,4,10/8/1872 0:00:00
903554,GREAT WESTERN,61,10/10/1872 0:00:00
903555,PLYMOUTH ROCK,61,10/23/1872 0:00:00
903556,FRANKLIN,121,10/23/1872 0:00:00
903557,AMERICAN UNION,61,10/28/1872 0:00:00
903558,GLAMORGAN,112,10/28/1872 0:00:00
903559,MINNEHAHA,3,10/30/1872 0:00:00
903560,ARRAGON,61,11/2/1872 0:00:00
903561,GREAT WESTERN,61,12/6/1872 0:00:00
903562,ALEX MARSHALL,4,12/26/1872 0:00:00
903563,GLAMORGAN,112,12/26/1872 0:00:00
903564,CITY OF BROOKLYN,4,1/4/1873 0:00:00
903565,FRANCE,4,1/13/1873 0:00:00
903566,HELVETIA,95,1/16/1873 0:00:00
903567,L.H. MARSHALL,4,1/20/1873 0:00:00
903568,ATLANTIC,80,1/22/1873 0:00:00
903569,PERIT,72,1/22/1873 0:00:00
903570,INDIA,6,1/25/1873 0:00:00
903571,ITALY,4,1/27/1873 0:00:00
903572,CALIFORNIA,6,1/28/1873 0:00:00
903573,WISCONSIN,4,2/5/1873 0:00:00
903574,CITY OF NEW YORK,4,2/8/1873 0:00:00
903575,WYOMING,4,2/17/1873 0:00:00
903576,ANGLIA,6,2/17/1873 0:00:00
903577,GREAT WESTERN,4,2/19/1873 0:00:00
903578,ATLANTIC,4,2/21/1873 0:00:00
903579,GREAT WESTERN,52,2/24/1873 0:00:00
903580,GLAMORGAN,112,3/6/1873 0:00:00
903581,AUSTRALIA,6,3/17/1873 0:00:00
903582,EXCELSIOR,60,3/18/1873 0:00:00
903583,VICTORIA,6,3/20/1873 0:00:00
903584,CASTALIA,6,3/26/1873 0:00:00
903585,PEMBROKE,112,4/9/1873 0:00:00
903586,CITY OF LIMERICK,4,4/22/1873 0:00:00
903587,ALEX MARSHALL,4,4/26/1873 0:00:00
903588,GLAMORGAN,112,4/28/1873 0:00:00
903589,CITY OF NEW YORK,4,4/29/1873 0:00:00
903590,PENNSYLVANIA,6,5/1/1873 0:00:00
903591,CITY OF BALTIMORE,4,5/3/1873 0:00:00
903592,ARRAGON,52,5/9/1873 0:00:00
903593,CITY OF BRISTOL,4,5/13/1873 0:00:00
903594,CORNELIUS GRINNELL,61,5/14/1873 0:00:00
903595,ADRIATIC,4,5/19/1873 0:00:00
903596,ATLANTIC,76,5/19/1873 0:00:00
903597,C.H. MARSHALL,4,5/20/1873 0:00:00
903598,PEMBROKE,112,5/21/1873 0:00:00
903599,LAPLAND,52,5/23/1873 0:00:00
903600,LADY LYCETTE,52,6/13/1873 0:00:00
903601,GLAMORGAN,112,6/14/1873 0:00:00
903602,ARRAGON,52,7/3/1873 0:00:00
903603,CONSTANTINE,61,7/5/1873 0:00:00
903604,PEMBROKE,112,7/8/1873 0:00:00
903605,NEW WORLD,61,7/8/1873 0:00:00
903606,LAPLAND,52,7/10/1873 0:00:00
903607,ALABAMA,6,7/10/1873 0:00:00
903608,GLAMORGAN,112,7/28/1873 0:00:00
903609,RED GAUNTLET,77,7/30/1873 0:00:00
903610,GREAT WESTERN,52,7/31/1873 0:00:00
903611,RHINE,61,8/9/1873 0:00:00
903612,SIR ROBERT PEEL,61,8/16/1873 0:00:00
903613,PEMBROKE,112,8/18/1873 0:00:00
903614,ARRAGON,52,8/21/1873 0:00:00
903615,HARVEST QUEEN,4,8/22/1873 0:00:00
903616,PLYMOUTH ROCK,61,8/28/1873 0:00:00
903617,AUSTRALIA,6,8/29/1873 0:00:00
903618,ATLAS,71,9/4/1873 0:00:00
903619,GLAMORGAN,112,9/11/1873 0:00:00
903620,CORNELIUS GRINNELL,61,9/13/1873 0:00:00
903621,CITY OF BRISTOL,4,9/17/1873 0:00:00
903622,GREAT WESTERN,52,9/22/1873 0:00:00
903623,C.H. MARSHALL,4,9/23/1873 0:00:00
903624,PEMBROKE,112,9/29/1873 0:00:00
903625,CALEDONIA,6,10/1/1873 0:00:00
903626,ARRAGON,52,10/4/1873 0:00:00
903627,AUSTRALIA,6,10/9/1873 0:00:00
903628,CANADA,61,10/9/1873 0:00:00
903629,CONSTANTINE,61,10/11/1873 0:00:00
903630,OLYMPIA,6,10/16/1873 0:00:00
903631,LAPLAND,52,10/20/1873 0:00:00
903632,VIRGINIA,82,10/24/1873 0:00:00
903633,INDIA,6,10/30/1873 0:00:00
903634,CALIFORNIA,6,11/7/1873 0:00:00
903635,PEMBROKE,112,11/17/1873 0:00:00
903636,PENNSYLVANIA,82,11/20/1873 0:00:00
903637,ARRAGON,52,11/22/1873 0:00:00
903638,JAMES FOSTER JR.,4,11/24/1873 0:00:00
903639,VICTORIA,6,11/26/1873 0:00:00
903640,HARVEST QUEEN,4,12/9/1873 0:00:00
903641,ELYSIA,6,12/9/1873 0:00:00
903642,LADY LYCETTE,52,12/12/1873 0:00:00
903643,CASTALIA,6,12/12/1873 0:00:00
903644,ANGLIA,91,12/15/1873 0:00:00
903645,TRINACRIA,6,12/19/1873 0:00:00
903646,STATE OF GEORGIA,6,12/23/1873 0:00:00
903647,GLAMORGAN,112,12/26/1873 0:00:00
903648,GREAT WESTERN,52,12/29/1873 0:00:00
1000000,ADRIATIC,4,1/2/1877 0:00:00
1000002,ANCHORIA,6,1/6/1877 0:00:00
1000003,PARTHIA,4,1/8/1877 0:00:00
1000004,IDAHO,4,1/8/1877 0:00:00
1000005,CITY OF NEW YORK,4,1/8/1877 0:00:00
1000006,UTOPIA,61,1/9/1877 0:00:00
1000007,CITY OF RICHMOND,4,1/10/1877 0:00:00
1000008,DENMARK,61,1/10/1877 0:00:00
1000009,CHINA,80,1/12/1877 0:00:00
1000010,CALIFORNIA,6,1/12/1877 0:00:00
1000011,STATE OF NEVADA,6,1/12/1877 0:00:00
1000012,ITALY,4,1/13/1877 0:00:00
1000013,BRITANNIA,4,1/13/1877 0:00:00
1000014,MONTANA,80,1/15/1877 0:00:00
1000015,ANGLIA,61,1/16/1877 0:00:00
1000016,THE QUEEN,4,1/16/1877 0:00:00
1000017,BATAVIA,4,1/20/1877 0:00:00
1000018,CORNWALL,52,1/23/1877 0:00:00
1000019,STATE OF GEORGIA,82,1/24/1877 0:00:00
1000020,SPAIN,80,1/25/1877 0:00:00
1000021,WISCONSIN,80,1/25/1877 0:00:00
1000022,HOLLAND,61,1/26/1877 0:00:00
1000023,ELYSIA,61,1/27/1877 0:00:00
1000024,ABYSSINIA,4,1/29/1877 0:00:00
1000025,WYOMING,80,1/29/1877 0:00:00
1000026,CELTIC,4,1/29/1877 0:00:00
1000027,STATE OF INDIANA,82,1/29/1877 0:00:00
